^PRODOTTO^|^DESCRIZIONE^|^COD_CICLO^|^FASE^|^OPERAZIONE^|^CL.MACCHINE^|^CL.OPERATORI LAV.^|^CL.OPERATORI ATTR.^|^ATTREZZATURA^|^T.ATTR.MACCHINA^|^T.ATTR.UOMO^|^T.LAV.MACCHINA^|^T.LAV.UOMO^|^NOTE FASE^|^TERZISTA^|^GG.LAV.EST.^|^DIRECTORY FILE DISEGNO^|^NOME FILE DISEGNO^|^N.OPER.LAV.^|^N.OPER.ATTR.^|^GG.POSTICIPO^|^SCHED.CAP.ILLIM.^|^T.ATTRAVERSAMENTO^|^NUM.IMPRONTE^|^N.RIGA^|^RIGA TESTO FASE^
^E200451^|^CALOTTA ANTERIORE C/DENTINO grezzo <70403>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070403|6000000|6000000|32000|11000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200460^|^CALOTTA POSTERIORE S/DENTINO grezzo <704>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070400|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200460^|^CALOTTA POSTERIORE S/DENTINO grezzo <704>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070400|6000000|6000000|35000|12000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200461^|^CALOTTA POSTERIORE C/DENTINO grezzo <70403>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070403|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200461^|^CALOTTA POSTERIORE C/DENTINO grezzo <70403>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070403|6000000|6000000|32000|11000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200470^|^COPERCHIO grezzo <706>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070600|3000000|3000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|3|^ ^|^ ^
^E200470^|^COPERCHIO grezzo <706>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070600|4000000|4000000|21000|7000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|3|^ ^|^ ^
^E200480^|^TESTATA SPAZZOLE grezzo <706>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070600|3000000|3000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|3|^ ^|^ ^
^E200480^|^TESTATA SPAZZOLE grezzo <706>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070600|4000000|4000000|21000|8000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|3|^ ^|^ ^
^E200490^|^TESTATA ALBERO grezzo <706>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070600|3000000|3000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|3|^ ^|^ ^
^E200490^|^TESTATA ALBERO grezzo <706>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070600|4000000|4000000|21000|7000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|3|^ ^|^ ^
^E200510^|^CORPO RIDUTTORE grezzo <707>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070700|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
